ProjectID,ProjectName,EmployeeID,StartDate,EndDate,Status
201,ProjectA,1,2020-01-01,2020-06-30,Complete
202,ProjectB,2,2019-02-15,2019-11-30,Complete
203,ProjectC,3,2021-04-01,,Ongoing
204,ProjectD,4,2018-06-10,2019-05-20,Complete
205,ProjectE,5,2017-07-01,2018-04-30,Complete
206,ProjectF,6,2020-11-05,2021-10-10,Complete
207,ProjectG,7,2019-09-23,2020-08-14,Complete
208,ProjectH,8,2020-03-01,2021-02-28,Complete
209,ProjectI,9,2018-10-01,2019-07-15,Complete
210,ProjectJ,10,2017-12-05,2018-11-20,Complete
